fishing_gear_code,fishing_gear,fishing_gear_category
MIS,Engin divers,Engin inconnu
NK,Engin inconnu,Engin inconnu
FOO,Pêche à pied,Pas d'engin
FDV,Apnée,Pas d'engin
NO,Pas d'engin,Pas d'engin
LA,Filets tournants sans coulisse (lamparo),Filets tournants
PS,Sennes coulissantes,Filets tournants
PS2,Sennes coulissantes manœuvrées par deux navires,Filets tournants
PS1,Sennes coulissantes manœuvrées par un navire,Filets tournants
SV,Sennes de bateau,Sennes traînantes
SX,Sennes (non spécifiées),Sennes traînantes
SPR,Sennes manœuvrées par deux bateaux,Sennes traînantes
SSC,Sennes écossaises,Sennes traînantes
SDN,Sennes danoises,Sennes traînantes
SB,Sennes de plage,Filets tournants
TMS,Chaluts pélagiques à crevettes,Chaluts
TM,Chaluts pélagiques (non spécifiés),Chaluts
TMB,Gangui,Chaluts
TX,Autres chaluts (non spécifiés),Chaluts
PT,Chaluts-bœufs (non spécifiés),Chaluts
OT,Chaluts à panneaux (non spécifiés),Chaluts
TB,Chaluts de fond (non spécifiés),Chaluts
TBS,Chaluts de fond à crevettes,Chaluts
TBN,Chaluts à langoustines,Chaluts
OTT,Chaluts jumeaux à panneaux,Chaluts
PTM,Chaluts-bœufs pélagiques,Chaluts
OTM,Chaluts pélagiques à panneaux,Chaluts
PTB,Chaluts-bœufs de fond,Chaluts
OTB,Chaluts de fond à panneaux,Chaluts
TBB,Chaluts à perche,Chaluts
DHS,Drague à main manœuvrée à partir du rivage,Dragues
DHB,Drague à main manœuvrée à partir du bateau,Dragues
HMD,Dragues mécanisées incluant les dragues suceuses,Dragues
DRH,Dragues à main utilisées à bord d'un bateau,Dragues
DRB,Dragues remorquées par bateau,Dragues
LNP,Filets soulevés portatifs,Filets soulevés
LN,Filets soulevés (non spécifiés),Filets soulevés
GES,Tamis à civelles,Filets soulevés
LNS,Filets soulevés fixes manœuvrés du rivage,Filets soulevés
LNB,Filets soulevés manœuvrés par bateau,Filets soulevés
GNF,Filets maillants fixes (sur perches),Filets maillants et filets emmêlants
GEN,Filets maillants et filets emmélants (non spécif.),Filets maillants et filets emmêlants
GN,Filets maillants (non spécifiés),Filets maillants et filets emmêlants
GTN,Trémails et filets maillants combinés,Filets maillants et filets emmêlants
GTR,Trémails,Filets maillants et filets emmêlants
GNC,Filets maillants encerclants,Filets maillants et filets emmêlants
GND,Filets maillants dérivants (filets dérivants),Filets maillants et filets emmêlants
GNS,Filets maillants calés (ancrés),Filets maillants et filets emmêlants
FYK,Verveux,Pièges
FWR,"Barrages, parcs, bordigues, etc.",Pièges
FSN,Filets à l'étalage (diables),Pièges
FPN,Filets pièges-fixes non couverts,Pièges
FAR,Pièges aériens,Pièges
FAG,"Balai, Fagot",Pièges
LL,Palangres (non spécifiées),Pièges
FIX,Pièges (non spécifiés),Pièges
FPO,Nasses (casiers),Pièges
LVS,Palangre verticale de fond,Lignes et hameçons
LVD,Palangre verticale dérivante,Lignes et hameçons
LX,Hameçons et lignes,Lignes et hameçons
LTL,Lignes de traîne,Lignes et hameçons
LLD,Palangres dérivantes,Lignes et hameçons
LLS,Palangres calées,Lignes et hameçons
LHM,Lignes à main et  à cannes (mécanisées),Lignes et hameçons
LHP,Lignes à main et  à cannes (manœuvrées à la main),Lignes et hameçons
FG,Autres engins retombants (non spécifiés),Engins divers
FCN,Eperviers,Engins divers
HAR,Harpons,Engins divers
HMX,Engins de récolte (non spécifiés),Engins de récolte
HMS,Scoubidou,Engins de récolte
MHI,"Instruments à main (pinces, râteaux, lances, etc.)",Engins de récolte
RG,Engin de pêche récréative,Engins de pêche récréative
MPM,Pompes,Engins divers
MDV,Plongée sous-marine,Engins divers
MDR,Filets de rabattage,Engins divers
MSP,Epuisette,Engins divers
MPN,Pushnets (haveneau à crevettes),Engins divers
MEL,Pêche électrique,Engins divers
OTP,Chaluts à panneaux multiples,Chaluts
NS,Non spécifié,Engin inconnu
DRM,Dragues mécanisées,Dragues
OTS,Inconnu FAO,Engin inconnu
SUX,Filets tournants (non spécifié),Filets tournants
