WKT,name,description
"POINT (-1.7096194 49.32442)",Point 7,
"POINT (-1.7061861 49.3172589)",Point 8,
"POINT (-1.7020663 49.3139018)",Point 9,
"POINT (-1.700693 49.3121112)",Point 10,
"POINT (-1.6989763 49.309761)",Point 11,
"POINT (-1.6972597 49.3069629)",Point 12,
"POINT (-1.6958864 49.3042767)",Point 13,
"POINT (-1.6933115 49.3005828)",Point 14,
"POINT (-1.6905649 49.2971126)",Point 15,
"POINT (-1.6878184 49.2930824)",Point 16,
"POINT (-1.6852434 49.2891638)",Point 17,
"POINT (-1.6771754 49.2875962)",Point 18,
"POINT (-1.6723688 49.284573)",Point 19,
"POINT (-1.6775187 49.2831173)",Point 20,
"POINT (-1.6764887 49.2807657)",Point 21,
"POINT (-1.6758021 49.277742)",Point 22,
"POINT (-1.6711672 49.2748302)",Point 23,
"POINT (-1.6658457 49.2722542)",Point 24,
"POINT (-1.6627558 49.269006)",Point 25,
"POINT (-1.6610392 49.2648614)",Point 26,
"POINT (-1.656061 49.2625089)",Point 27,
"POINT (-1.6501387 49.2586999)",Point 28,
"POINT (-1.645139 49.2535461)",Point 29,
"POINT (-1.6482504 49.246879)",Point 30,
"POINT (-1.649452 49.241948)",Point 31,
"POINT (-1.6453322 49.2354474)",Point 32,
"POINT (-1.6412123 49.2302912)",Point 33,
"POINT (-1.6360625 49.2251344)",Point 34,
"POINT (-1.629196 49.2226679)",Point 35,
"POINT (-1.6209563 49.2166133)",Point 36,
"POINT (-1.6298826 49.2161648)",Point 37,
"POINT (-1.6051634 49.2168376)",Point 38,
"POINT (-1.6017302 49.213025)",Point 39,
"POINT (-1.6034468 49.2085393)",Point 40,
"POINT (-1.6031035 49.2000154)",Point 41,
"POINT (-1.5938338 49.1721901)",Point 44,
"POINT (-1.5938338 49.1641089)",Point 45,
"POINT (-1.6072448 49.1639545)",Point 46,
"POINT (-1.5904971 49.1549949)",Point 47,
"POINT (-1.5921815 49.1518723)",Point 48,
"POINT (-1.6014727 49.1008165)",Point 56,
"POINT (-1.6022881 49.0979504)",Point 57,
"POINT (-1.6082533 49.0897446)",Point 58,
"POINT (-1.6092833 49.0836738)",Point 59,
"POINT (-1.6009792 49.07808)",Point 60,
"POINT (-1.6005285 49.0757467)",Point 61,
"POINT (-1.6023954 49.0596921)",Point 63,
"POINT (-1.5969237 49.0527895)",Point 64,
"POINT (-1.6140898 49.2227116)",Point 65,
"POINT (-1.6070357 49.1019404)",Point 66,
"POINT (-1.6077223 49.0972479)",Point 67,
"POINT (-1.6223071 49.1046206)",Point 68,
"POINT (-1.6256974 49.105618)",Point 69,
"POINT (-1.6197107 49.1051263)",Point 70,
"POINT (-1.5633633 48.8438973)",Point 55,
"POINT (-1.5613838 48.8434348)",Point 56,
"POINT (-1.566648 48.8406957)",Point 57,
"POINT (-1.5923834 49.0653251)",Point 58,
"POINT (-1.6029931 49.0992816)",Point 59,
"POINT (-1.7674062 48.6045288)",Point 60,
"POINT (-1.7661046 48.5989964)",Point 61,
"POINT (-1.7287447 49.3230895)",Point 63,
"POINT (-1.7195337 49.3217455)",Point 70,
"POINT (-1.7139446 49.3169739)",Point 71,
"POINT (-1.7256176 49.3146519)",Point 72,
"POINT (-1.7127873 49.3113335)",Point 73,
"POINT (-1.1682304 45.855499)",Point 67,
